State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute,Percent,Absolute
Louisiana,21.1,18.3,18.6,17.2,17.2,15.6,16.4,18.6,18.2,17.1,16.7,17.6,17.0,17.2,16.7,16.8,17.7,18.0,17.9,18.1,19.2,19.4,-8.0%,-1.7,0.7%,0.1
Maine,9.6,8.6,8.5,8.2,8.2,8.2,7.7,8.1,8.3,7.7,7.7,7.8,7.5,7.8,7.7,7.8,7.1,6.8,6.7,6.5,6.1,5.9,-38.8%,-3.7,-3.9%,-0.2
Maryland,5.8,5.6,5.7,5.7,5.4,5.3,4.9,4.9,4.7,4.7,4.6,4.3,4.2,4.2,4.2,4.1,3.9,3.7,3.8,3.7,3.4,3.4,-40.9%,-2.4,0.0%,0.0
Massachusetts,4.3,4.2,4.2,4.1,4.0,3.9,3.6,3.6,3.5,3.4,3.4,3.2,3.1,3.2,3.2,3.1,3.0,3.0,2.9,2.9,2.6,2.5,-41.3%,-1.8,-1.6%,0.0
Michigan,7.4,7.3,7.2,7.2,7.1,7.0,6.8,6.8,6.9,7.0,6.9,6.8,6.4,6.7,6.7,6.4,6.2,6.1,6.2,6.2,5.8,5.6,-23.5%,-1.7,-3.3%,-0.2
Minnesota,7.1,7.0,7.0,7.1,6.8,6.6,6.5,6.6,6.6,6.4,6.5,6.3,6.1,6.2,6.2,5.7,5.7,5.7,5.8,5.6,5.3,5.3,-25.5%,-1.8,-0.9%,0.0
Mississippi,14.1,13.0,13.3,13.1,12.8,12.1,12.2,12.2,11.5,11.3,11.7,11.5,11.1,10.9,11.0,10.8,10.6,10.6,11.0,10.8,10.3,10.4,-26.4%,-3.7,0.8%,0.1
Missouri,7.5,7.7,7.6,7.5,7.3,7.5,7.4,7.4,7.1,6.9,7.1,7.0,6.6,6.7,6.9,6.6,6.4,6.2,6.5,6.2,6.0,6.0,-20.5%,-1.5,-1.2%,-0.1
Montana,13.1,11.4,11.7,11.2,11.3,11.3,11.5,11.6,11.3,10.8,9.9,9.6,9.4,9.4,9.2,8.9,9.1,9.2,9.3,9.5,9.2,8.9,-32.6%,-4.3,-3.4%,-0.3
Nebraska,8.8,8.5,8.5,8.2,8.1,7.9,7.9,8.1,8.5,8.3,8.9,8.4,8.3,8.3,8.1,7.7,7.7,7.7,7.8,7.6,7.3,7.4,-16.0%,-1.4,0.5%,0.0
Nevada,5.9,5.9,5.7,5.7,5.4,5.1,5.2,5.1,5.0,5.1,5.4,5.3,5.3,5.4,5.4,5.1,5.2,5.2,5.2,5.0,4.8,4.8,-19.4%,-1.2,-1.4%,-0.1
New Hampshire,5.5,5.3,5.3,5.3,5.2,5.0,4.6,4.6,4.6,4.6,4.5,4.4,4.2,4.4,4.5,4.4,4.2,4.3,4.3,4.2,3.9,3.6,-33.5%,-1.8,-6.9%,-0.3
New Jersey,5.3,5.2,5.1,5.1,5.2,5.2,4.9,5.1,4.9,4.7,4.5,4.5,4.2,4.2,4.3,4.1,4.0,3.9,4.0,3.8,3.5,3.5,-33.0%,-1.7,0.0%,0.0
New Mexico,9.3,9.2,8.9,8.6,8.3,8.2,8.1,8.3,7.8,7.3,7.5,7.7,7.6,7.7,7.7,7.6,7.5,7.7,7.7,7.8,7.6,7.9,-14.7%,-1.4,4.5%,0.3
New York,3.8,3.6,3.6,3.8,3.7,3.6,3.2,3.3,3.3,3.0,3.0,2.9,2.7,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.3,2.3,-38.3%,-1.5,0.0%,0.0
North Carolina,7.3,7.1,7.1,6.9,6.9,6.6,6.1,6.1,6.0,5.9,6.3,5.9,5.7,5.7,5.6,5.5,5.4,5.2,5.4,5.2,4.9,4.9,-33.7%,-2.5,-0.4%,0.0
North Dakota,15.4,16.4,15.3,14.4,14.3,13.9,13.6,13.7,13.0,12.4,12.5,12.4,10.6,11.2,11.1,10.8,11.0,11.7,11.9,12.1,11.7,13.1,-15.3%,-2.4,12.1%,1.4
Ohio,8.4,8.0,7.7,7.7,7.6,7.5,7.2,7.4,7.5,7.2,7.2,6.9,6.6,6.6,6.6,6.4,6.3,6.1,6.3,5.9,5.7,5.6,-32.8%,-2.8,-1.2%,-0.1
Oklahoma,12.0,11.7,11.1,11.2,10.7,10.6,10.3,10.1,9.7,9.3,9.8,9.5,8.9,9.1,8.9,8.2,8.4,8.5,8.7,8.4,8.2,8.6,-28.6%,-3.4,4.1%,0.3
Oregon,8.3,7.7,7.5,7.0,6.7,6.6,6.5,6.3,6.0,6.1,5.8,5.8,5.6,5.7,5.5,5.1,5.0,5.1,4.8,4.7,4.6,4.6,-44.3%,-3.7,0.0%,0.0
Pennsylvania,7.3,7.0,7.1,7.0,6.9,6.8,6.6,6.4,6.3,5.9,6.0,5.9,5.6,5.9,6.0,5.7,5.5,5.4,5.6,5.3,5.0,5.1,-30.2%,-2.2,2.0%,0.1
Rhode Island,4.6,4.5,4.3,4.5,4.3,4.1,3.8,3.9,3.8,3.9,3.8,3.6,3.6,3.8,3.9,3.8,3.5,3.5,3.7,3.6,3.4,3.4,-25.1%,-1.1,0.0%,0.0
South Carolina,10.8,10.4,10.3,10.0,10.4,9.9,9.8,9.4,9.3,9.3,9.7,9.2,8.9,8.9,8.8,8.7,8.4,8.1,8.1,7.7,7.4,7.4,-31.4%,-3.4,0.3%,0.0
South Dakota,9.0,8.7,8.4,8.5,8.4,8.6,8.6,8.8,9.1,9.1,9.4,8.8,8.6,8.9,8.8,8.5,8.4,8.6,8.8,8.7,8.4,8.3,-7.6%,-0.7,-1.1%,-0.1
Tennessee,9.4,9.5,9.3,9.1,8.8,8.7,8.5,8.6,8.3,7.9,8.4,7.9,7.3,7.4,7.5,7.2,7.1,6.7,6.9,6.6,6.3,6.2,-33.7%,-3.2,-1.1%,-0.1
Texas,12.2,11.7,11.7,11.5,10.9,10.1,9.5,9.2,8.8,8.5,8.9,8.7,8.4,8.5,8.3,7.9,8.0,7.9,8.1,8.0,7.7,7.9,-35.1%,-4.3,2.5%,0.2
Utah,8.1,7.6,7.3,7.3,7.2,6.9,6.6,6.3,6.2,6.1,6.1,6.2,6.1,6.2,5.8,5.6,5.4,5.3,5.1,5.0,4.7,4.5,-43.7%,-3.5,-4.2%,-0.2
Vermont,6.5,6.3,6.1,6.0,6.1,6.0,5.8,5.8,5.3,5.8,5.5,5.2,4.4,4.8,4.9,4.8,4.6,4.6,4.7,4.6,4.3,4.2,-34.6%,-2.2,-2.3%,-0.1
Virginia,6.9,6.5,6.5,6.5,6.5,6.4,6.2,6.2,5.9,5.7,5.7,5.5,5.3,5.4,5.5,5.4,5.3,5.1,5.2,5.0,4.7,4.8,-30.1%,-2.1,1.9%,0.1
Washington,7.2,6.7,6.1,6.0,6.1,5.8,5.9,5.5,5.4,5.5,5.3,5.3,5.0,5.0,4.7,4.5,4.5,4.3,4.0,3.9,3.3,3.3,-54.3%,-3.9,0.0%,0.0
West Virginia,12.0,11.8,12.0,11.3,11.5,11.2,11.4,11.8,11.3,10.4,10.9,10.5,10.4,10.6,11.1,10.9,10.9,10.5,11.3,11.4,11.4,12.0,0.1%,0.0,4.9%,0.6
Wisconsin,8.1,7.9,7.9,7.5,7.4,7.4,7.0,7.1,7.1,6.8,6.8,6.6,6.3,6.6,6.7,6.3,6.2,6.2,6.3,6.1,5.8,5.8,-28.8%,-2.3,-1.4%,-0.1
Wyoming,15.6,15.0,14.7,15.0,14.2,13.6,12.6,12.9,12.6,12.6,13.5,14.0,14.2,13.9,13.5,12.5,13.2,14.2,14.6,14.2,13.8,13.9,-11.2%,-1.7,0.4%,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
